receipt_id,room_no,room_member_id,receipt_type,input_method,image_url,image_hash,ocr_status,store_name,total_amount,amount,receipt_issued_at,address,center_lat,center_lng,split_group_id,good_price_store_id,good_price_store_name,good_price_store_address,good_price_matched,good_price_verified_at,confirmed,created_at,updated_at
700042,677,302672,SPLIT,GALLERY,https://storage.beggar.dev/receipts/700042.jpg,886c5387a2fab941813479efa95829a46ac86251e6583a480ff244b2d1e34b71,SUCCESS,마포버거,7700,7700,2026-02-21 18:50:07,서울 마포구 양화로 55,37.5536276,126.9170324,800207,,,,0,,1,2026-02-21 18:57:07,2026-02-21 19:19:07
700043,389,301530,SPLIT,GALLERY,https://storage.beggar.dev/receipts/700043.jpg,307d84a7a8c8ff893036aa0261e4a424ffd2b818f9e212e3cadfeb221a69bc45,PENDING,수원토스트,3600,3600,2024-05-17 15:26:00,경기 수원시 팔달구 매산로 11,37.2866717,127.0148527,800218,GP_SUWON_ETC_001,수원토스트,경기 수원시 팔달구 매산로 11,1,2024-05-17 16:34:00,1,2024-05-17 15:41:00,2024-05-17 16:07:00
700044,389,301528,SPLIT,MANUAL,,,MANUAL,수원토스트,3900,3900,2024-05-17 14:55:54,경기 수원시 팔달구 매산로 11,37.2867631,127.0146902,800218,,,,0,,1,2024-05-17 15:07:54,2024-05-17 15:18:54
700045,389,301529,SPLIT,CAMERA,https://storage.beggar.dev/receipts/700045.jpg,f0d14d6b93081d200a376332371e33dafc5d1b385c53b21f456991867f89f5cf,FAILED,수원토스트,4100,4100,2024-05-17 15:31:25,경기 수원시 팔달구 매산로 11,37.2879907,127.0146119,800218,GP_SUWON_ETC_001,수원토스트,경기 수원시 팔달구 매산로 11,1,2024-05-17 15:54:25,1,2024-05-17 15:53:25,2024-05-17 16:20:25
700046,389,301530,SPLIT,MANUAL,,,MANUAL,수원토스트,4100,4100,2024-05-17 14:09:39,경기 수원시 팔달구 매산로 11,37.2874999,127.0142477,800218,,,,0,,1,2024-05-17 14:30:39,2024-05-17 14:31:39
700047,634,302486,SPLIT,GALLERY,https://storage.beggar.dev/receipts/700047.jpg,e12cd6ad90249cf9f437a0a88a28c1a89a842fffaaa708f247c23f6e94aedc66,SUCCESS,팔달순대,6500,6500,2025-04-05 17:08:06,경기 수원시 팔달구 향교로 5,37.2811032,127.017229,800133,,,,0,,1,2025-04-05 17:27:06,2025-04-05 18:18:06
700048,634,302484,SPLIT,GALLERY,https://storage.beggar.dev/receipts/700048.jpg,804b92faa482b64e4f0299e1455504d7bec38ec5bc91755b2300e94571a147ce,SUCCESS,팔달순대,8300,8300,2025-04-05 16:58:52,경기 수원시 팔달구 향교로 5,37.2800152,127.0177493,800133,,,,0,,1,2025-04-05 17:02:52,2025-04-05 17:24:52
700049,149,300570,SPLIT,MANUAL,,,MANUAL,안양우동,7300,7300,2024-03-31 22:57:16,경기 안양시 만안구 냉천로 22,37.3928181,126.9500653,800374,,,,0,,1,2024-03-31 23:06:16,2024-03-31 23:25:16
700050,149,300568,SPLIT,MANUAL,,,MANUAL,안양우동,7100,7100,2024-03-31 22:14:06,경기 안양시 만안구 냉천로 22,37.3924825,126.9506349,800374,,,,0,,1,2024-03-31 22:19:06,2024-03-31 23:09:06
700051,149,300571,SPLIT,MANUAL,,,MANUAL,안양우동,6600,6600,2024-03-31 22:23:57,경기 안양시 만안구 냉천로 22,37.3922325,126.9507866,800374,,,,0,,1,2024-03-31 22:42:57,2024-03-31 23:09:57
700052,270,301049,SPLIT,GALLERY,https://storage.beggar.dev/receipts/700052.jpg,fdb079100a1a2489d656035815f3263bde1f957405a05ea6d150e34dbf950389,SUCCESS,대구분식,5100,5100,2025-08-03 08:33:51,대구 중구 교동 10,35.8681992,128.5986023,800081,GP_DAEGU_ETC_001,대구분식,대구 중구 교동 10,1,2025-08-03 09:47:51,1,2025-08-03 08:54:51,2025-08-03 09:18:51
700053,270,301048,SPLIT,CAMERA,https://storage.beggar.dev/receipts/700053.jpg,9da62c9a9e27d6e2a0bb31ec5440b9c70e4a0ec4d19b0b7cd06050f11c68224f,SUCCESS,대구분식,5200,5200,2025-08-03 08:28:07,대구 중구 교동 10,35.8683181,128.5976448,800081,GP_DAEGU_ETC_001,대구분식,대구 중구 교동 10,1,2025-08-03 08:49:07,1,2025-08-03 08:49:07,2025-08-03 09:25:07
700054,28,300098,SPLIT,CAMERA,https://storage.beggar.dev/receipts/700054.jpg,84169662b50c1c08cbb580921e17a00d79e3d4e620e81235cc8b621851b8a984,PENDING,성동쌈밥,10000,10000,2025-03-30 00:06:02,서울 성동구 성수일로 12,37.5461436,127.0550506,800491,GP_SEONGDONG_KR_002,성동쌈밥,서울 성동구 성수일로 12,1,2025-03-30 01:49:02,1,2025-03-30 00:27:02,2025-03-30 01:16:02
700055,28,300099,SPLIT,MANUAL,,,MANUAL,성동쌈밥,10200,10200,2025-03-30 00:22:17,서울 성동구 성수일로 12,37.546305,127.0554435,800491,,,,0,,1,2025-03-30 00:37:17,2025-03-30 01:17:17
700056,362,301412,SPLIT,MANUAL,,,MANUAL,대전짜장,7100,7100,2024-01-28 05:05:44,대전 서구 탄방동 12,36.3480463,127.3849696,800074,GP_DAEJEON_CN_001,대전짜장,대전 서구 탄방동 12,1,2024-01-28 07:05:44,1,2024-01-28 05:27:44,2024-01-28 05:30:44
700057,362,301413,SPLIT,MANUAL,,,MANUAL,대전짜장,8400,8400,2024-01-28 04:22:51,대전 서구 탄방동 12,36.348524,127.3833613,800074,GP_DAEJEON_CN_001,대전짜장,대전 서구 탄방동 12,1,2024-01-28 04:41:51,1,2024-01-28 04:26:51,2024-01-28 04:55:51
700058,362,301412,SPLIT,MANUAL,,,MANUAL,대전짜장,6900,6900,2024-01-28 06:09:34,대전 서구 탄방동 12,36.3480439,127.3831472,800074,GP_DAEJEON_CN_001,대전짜장,대전 서구 탄방동 12,1,2024-01-28 07:39:34,1,2024-01-28 06:37:34,2024-01-28 07:00:34
700059,404,301595,SPLIT,MANUAL,,,MANUAL,성수카페밥,12500,12500,2024-11-25 00:47:55,서울 성동구 뚝섬로 50,37.5460203,127.0493574,800198,,,,0,,1,2024-11-25 01:16:55,2024-11-25 01:36:55
700060,404,301596,SPLIT,MANUAL,,,MANUAL,성수카페밥,9100,9100,2024-11-25 01:14:08,서울 성동구 뚝섬로 50,37.5466936,127.0509898,800198,GP_SEONGDONG_WS_001,성수카페밥,서울 성동구 뚝섬로 50,1,2024-11-25 02:40:08,1,2024-11-25 01:35:08,2024-11-25 02:13:08
700061,374,301462,SPLIT,MANUAL,,,MANUAL,종로삼계탕,11400,11400,2026-03-10 10:03:57,서울 종로구 인사동길 12,37.5734461,126.9851235,800255,GP_JONGNO_KR_002,종로삼계탕,서울 종로구 인사동길 12,1,2026-03-10 10:32:57,1,2026-03-10 10:12:57,2026-03-10 11:11:57
700062,374,301463,SPLIT,MANUAL,,,MANUAL,종로삼계탕,11300,11300,2025-01-26 08:04:51,서울 종로구 인사동길 12,37.5736771,126.9842669,800255,,,,0,,1,2025-01-26 08:32:51,2025-01-26 08:55:51
700063,250,300963,SPLIT,MANUAL,,,MANUAL,안양분식,5400,5400,2024-06-05 20:22:54,경기 안양시 만안구 안양천로 3,37.3954904,126.9479916,800042,,,,0,,1,2024-06-05 20:25:54,2024-06-05 20:47:54
700064,250,300964,SPLIT,MANUAL,,,MANUAL,안양분식,4400,4400,2024-06-05 21:48:29,경기 안양시 만안구 안양천로 3,37.3956921,126.9484348,800042,GP_ANYANG_ETC_001,안양분식,경기 안양시 만안구 안양천로 3,1,2024-06-05 22:48:29,1,2024-06-05 22:01:29,2024-06-05 23:00:29
700065,250,300962,SPLIT,MANUAL,,,MANUAL,안양분식,5600,5600,2024-06-05 19:56:35,경기 안양시 만안구 안양천로 3,37.3944117,126.9484441,800042,,,,0,,1,2024-06-05 20:15:35,2024-06-05 21:05:35
700066,646,302538,SPLIT,MANUAL,,,MANUAL,광주우동,7600,7600,2025-01-29 15:24:23,광주 서구 상무민주로 14,35.1507479,126.8512654,800235,,,,0,,1,2025-01-29 15:28:23,2025-01-29 16:06:23
700067,646,302536,SPLIT,MANUAL,,,MANUAL,광주우동,6100,6100,2025-01-29 14:08:07,광주 서구 상무민주로 14,35.1508196,126.8512078,800235,,,,0,,1,2025-01-29 14:23:07,2025-01-29 14:33:07
700068,646,302537,SPLIT,MANUAL,,,MANUAL,광주우동,8200,8200,2025-01-29 15:59:07,광주 서구 상무민주로 14,35.1503598,126.8506454,800235,GP_GWANGJU_JP_001,광주우동,광주 서구 상무민주로 14,1,2025-01-29 17:50:07,1,2025-01-29 16:20:07,2025-01-29 17:20:07
700069,646,302535,SPLIT,MANUAL,,,MANUAL,광주우동,6300,6300,2025-01-29 14:24:44,광주 서구 상무민주로 14,35.1502901,126.8506289,800235,GP_GWANGJU_JP_001,광주우동,광주 서구 상무민주로 14,1,2025-01-29 14:35:44,1,2025-01-29 14:36:44,2025-01-29 14:51:44
700070,646,302538,SPLIT,MANUAL,,,MANUAL,광주우동,8900,8900,2025-01-29 14:42:50,광주 서구 상무민주로 14,35.1515905,126.8517975,800235,GP_GWANGJU_JP_001,광주우동,광주 서구 상무민주로 14,1,2025-01-29 16:03:50,1,2025-01-29 15:05:50,2025-01-29 15:05:50
700071,422,301664,SPLIT,MANUAL,,,MANUAL,수원피자,6500,6500,2025-02-16 22:04:00,경기 수원시 팔달구 팔달문로 3,37.2822158,127.0167667,800345,GP_SUWON_WS_001,수원피자,경기 수원시 팔달구 팔달문로 3,1,2025-02-17 00:04:00,1,2025-02-16 22:11:00,2025-02-16 22:44:00
700072,422,301663,SPLIT,CAMERA,https://storage.beggar.dev/receipts/700072.jpg,06d858e62e28d2b44b12bdbca0953700bb1e35f125980c16e384b49c28816ae0,SUCCESS,수원피자,8200,8200,2025-02-16 22:23:00,경기 수원시 팔달구 팔달문로 3,37.2813942,127.0166055,800345,,,,0,,1,2025-02-16 22:26:00,2025-02-16 23:02:00
700073,636,302490,SPLIT,MANUAL,,,MANUAL,해운대스테이크,12300,12300,2025-12-31 09:06:41,부산 해운대구 달맞이길 55,35.1640425,129.1700357,800389,,,,0,,1,2025-12-31 09:12:41,2025-12-31 09:50:41
700074,636,302492,SPLIT,GALLERY,https://storage.beggar.dev/receipts/700074.jpg,65fd25e81bda936ec0403be97e167743c2f96db7e604013084743b8dc634385e,SUCCESS,해운대스테이크,11900,11900,2025-12-31 07:04:19,부산 해운대구 달맞이길 55,35.165055,129.1706748,800389,GP_BUSAN_WS_001,해운대스테이크,부산 해운대구 달맞이길 55,1,2025-12-31 07:16:19,1,2025-12-31 07:34:19,2025-12-31 08:03:19
700075,636,302491,SPLIT,MANUAL,,,MANUAL,해운대스테이크,13000,13000,2025-12-31 07:22:00,부산 해운대구 달맞이길 55,35.1655074,129.1708007,800389,,,,0,,1,2025-12-31 07:38:00,2025-12-31 07:44:00
700076,636,302494,SPLIT,MANUAL,,,MANUAL,해운대스테이크,13600,13600,2025-12-31 09:34:59,부산 해운대구 달맞이길 55,35.1653929,129.1709092,800389,,,,0,,1,2025-12-31 09:59:59,2025-12-31 10:19:59
700077,636,302493,SPLIT,MANUAL,,,MANUAL,해운대스테이크,10400,10400,2025-12-31 07:36:12,부산 해운대구 달맞이길 55,35.1640208,129.1702103,800389,GP_BUSAN_WS_001,해운대스테이크,부산 해운대구 달맞이길 55,1,2025-12-31 08:27:12,1,2025-12-31 08:03:12,2025-12-31 08:26:12
700078,483,301885,SPLIT,MANUAL,,,MANUAL,대전소울푸드,9600,9600,2024-02-27 06:33:37,대전 서구 둔산로 10,36.3509699,127.3837216,800237,,,,0,,1,2024-02-27 06:34:37,2024-02-27 07:33:37
700079,483,301888,SPLIT,CAMERA,https://storage.beggar.dev/receipts/700079.jpg,16a744aa187230f1e4abd980c144732cb774a6317b4515517d8e07428eb828fa,SUCCESS,대전소울푸드,8100,8100,2024-02-27 04:26:13,대전 서구 둔산로 10,36.3512497,127.3846669,800237,,,,0,,1,2024-02-27 04:29:13,2024-02-27 04:45:13
700080,483,301884,SPLIT,GALLERY,https://storage.beggar.dev/receipts/700080.jpg,93529a5658efa1d8aea2d6fbbd2a211889f6e632bb661338affc1e4527cc3113,SUCCESS,대전소울푸드,7400,7400,2024-02-27 02:45:31,대전 서구 둔산로 10,36.3502936,127.3837447,800237,,,,0,,1,2024-02-27 02:50:31,2024-02-27 03:10:31
700081,483,301886,SPLIT,GALLERY,https://storage.beggar.dev/receipts/700081.jpg,c36dba1fb3b0ca58ba9303938aff6801b54ac58b94dff6e2173872e68aed9cdd,SUCCESS,대전소울푸드,8800,8800,2024-02-27 06:28:11,대전 서구 둔산로 10,36.3498517,127.3840276,800237,,,,0,,1,2024-02-27 06:36:11,2024-02-27 07:12:11
700082,483,301887,SPLIT,GALLERY,https://storage.beggar.dev/receipts/700082.jpg,c550b02b765680c0746899f53b44dec2c3cbba9ef0357c417d35a333bd038494,SUCCESS,대전소울푸드,8200,8200,2024-02-27 04:21:50,대전 서구 둔산로 10,36.3498118,127.383656,800237,,,,0,,1,2024-02-27 04:44:50,2024-02-27 04:49:50
700083,364,301419,SPLIT,MANUAL,,,MANUAL,마포갈비,11100,11100,2025-10-06 10:24:59,서울 마포구 마포대로 40,37.548528,126.9536232,800357,,,,0,,1,2025-10-06 10:51:59,2025-10-06 11:15:59
700084,364,301420,SPLIT,CAMERA,https://storage.beggar.dev/receipts/700084.jpg,372f8344020dbe39459196e50633c7a484ebccdaec7f7328e66e5bb18205463b,SUCCESS,마포갈비,12200,12200,2025-11-10 23:45:37,서울 마포구 마포대로 40,37.5471601,126.9539334,800357,,,,0,,1,2025-11-11 00:13:37,2025-11-11 00:33:37
700085,364,301424,SPLIT,MANUAL,,,MANUAL,마포갈비,13800,13800,2025-08-03 07:06:49,서울 마포구 마포대로 40,37.5470373,126.9529462,800357,GP_MAPO_KR_001,마포갈비,서울 마포구 마포대로 40,1,2025-08-03 08:43:49,1,2025-08-03 07:21:49,2025-08-03 08:16:49
