budget_id,room_member_id,budget_amount,submitted_at
500178,300188,44000,2026-01-01 19:46:20
500179,300189,19000,2026-01-01 20:00:18
500180,300190,27000,2026-01-01 19:22:18
500181,300192,39000,2026-01-01 19:20:18
500182,300193,42000,2026-01-01 19:28:18
500183,300194,36000,2026-01-01 20:04:02
500184,300195,14000,2026-01-01 19:54:02
500185,300196,13000,2026-01-01 19:29:02
500186,300197,42000,2026-01-01 20:23:44
500187,300198,44000,2026-01-01 20:21:44
500188,300199,10000,2026-01-01 20:07:44
500189,300200,25000,2026-01-01 20:14:44
500190,300201,43000,2026-01-01 20:27:44
500191,300202,24000,2026-01-01 19:53:14
500192,300203,32000,2026-01-01 19:45:14
500193,300204,17000,2026-01-01 19:58:14
500194,300206,23000,2026-01-01 19:34:14
500195,300207,42000,2026-01-01 20:48:29
500196,300208,49000,2026-01-01 20:58:29
500197,300209,39000,2026-01-01 20:16:29
500198,300210,21000,2026-01-01 20:12:29
500199,300211,22000,2026-01-01 19:56:29
500200,300212,26000,2026-01-01 20:21:57
500201,300213,37000,2026-01-01 20:08:57
500202,300214,38000,2026-01-01 20:10:57
500203,300215,32000,2026-01-01 20:41:57
500204,300216,12000,2026-01-01 20:03:57
500205,300217,27000,2026-01-01 20:18:53
500206,300218,18000,2026-01-01 20:41:53
500207,300219,19000,2026-01-01 20:32:15
500208,300220,13000,2026-01-01 20:56:15
500209,300221,10000,2026-01-01 20:52:15
500210,300222,37000,2026-01-01 20:23:15
500211,300223,25000,2026-01-01 20:28:15
500212,300224,16000,2026-01-01 21:15:45
500213,300225,47000,2026-01-01 21:02:45
500214,300226,35000,2026-01-01 20:22:45
500215,300227,13000,2026-01-01 20:52:53
500216,300228,24000,2026-01-01 21:00:53
500217,300229,37000,2026-01-01 21:23:53
500218,300230,25000,2026-01-01 21:09:22
500219,300231,13000,2026-01-01 21:18:22
500220,300232,27000,2026-01-01 21:29:22
500221,300233,33000,2026-01-01 21:12:22
500222,300234,18000,2026-01-01 21:34:31
500223,300235,47000,2026-01-01 21:42:31
500224,300236,18000,2026-01-01 21:39:34
500225,300237,22000,2026-01-01 21:26:34
500226,300238,44000,2026-01-01 21:37:34
500227,300239,22000,2026-01-01 21:54:34
500228,300240,45000,2026-01-01 21:36:24
500229,300241,17000,2026-01-01 21:55:24
500230,300242,42000,2026-01-01 22:25:24
500231,300243,13000,2026-01-01 22:24:53
500232,300245,14000,2026-01-01 21:42:53
500233,300246,34000,2026-01-01 21:58:53
500234,300247,10000,2026-01-01 22:34:49
500235,300248,43000,2026-01-01 22:05:49
500236,300249,27000,2026-01-01 22:23:49
500237,300250,50000,2026-01-01 21:46:15
500238,300252,32000,2026-01-01 22:26:10
500239,300253,45000,2026-01-01 22:04:10
500240,300254,28000,2026-01-01 22:25:10
500241,300255,27000,2026-01-01 22:30:19
500242,300256,47000,2026-01-01 22:23:19
500243,300257,38000,2026-01-01 22:26:19
500244,300258,35000,2026-01-01 22:35:19
500245,300259,33000,2026-01-01 22:28:19
500246,300261,28000,2026-01-01 22:22:23
500247,300262,35000,2026-01-01 23:25:23
500248,300263,37000,2026-01-01 22:33:23
500249,300264,10000,2026-01-01 23:29:23
500250,300265,10000,2026-01-01 23:17:23
500251,300266,25000,2026-01-01 23:19:23
500252,300267,48000,2026-01-01 22:46:23
500253,300268,16000,2026-01-01 23:25:23
500254,300269,46000,2026-01-01 23:28:17
500255,300270,19000,2026-01-01 23:06:17
500256,300271,44000,2026-01-01 23:07:05
500257,300272,19000,2026-01-01 22:59:05
500258,300273,28000,2026-01-01 23:30:20
500259,300275,17000,2026-01-01 23:15:20
500260,300276,15000,2026-01-01 23:37:44
500261,300277,31000,2026-01-02 00:00:44
500262,300278,29000,2026-01-02 00:13:44
500263,300279,27000,2026-01-01 23:40:44
500264,300280,19000,2026-01-02 00:34:15
500265,300281,38000,2026-01-02 00:14:15
500266,300282,27000,2026-01-01 23:58:25
500267,300283,34000,2026-01-01 23:53:25
500268,300284,18000,2026-01-02 00:37:27
500269,300286,44000,2026-01-02 00:25:27
500270,300287,36000,2026-01-02 00:27:27
500271,300288,24000,2026-01-02 00:43:27
500272,300289,33000,2026-01-02 00:21:46
500273,300290,13000,2026-01-02 00:11:46
500274,300291,36000,2026-01-02 00:40:17
500275,300292,18000,2026-01-02 00:26:17
500276,300294,13000,2026-01-02 00:51:17
500277,300295,20000,2026-01-02 00:34:11
500278,300296,14000,2026-01-02 00:13:11
500279,300297,43000,2026-01-02 01:04:35
500280,300299,28000,2026-01-02 00:23:35
500281,300300,20000,2026-01-02 00:42:30
500282,300301,39000,2026-01-02 01:29:30
500283,300302,15000,2026-01-02 01:17:25
500284,300303,23000,2026-01-02 01:24:25
500285,300304,45000,2026-01-02 01:19:25
500286,300305,40000,2026-01-02 01:10:25
500287,300306,27000,2026-01-02 00:58:48
500288,300307,31000,2026-01-02 01:11:48
500289,300308,14000,2026-01-02 01:02:48
500290,300309,22000,2026-01-02 01:30:48
500291,300310,27000,2026-01-02 00:58:48
500292,300311,12000,2026-01-02 01:14:37
500293,300312,32000,2026-01-02 01:44:37
500294,300313,18000,2026-01-02 02:01:16
500295,300314,42000,2026-01-02 01:40:16
500296,300315,47000,2026-01-02 01:56:16
500297,300316,39000,2026-01-02 01:42:28
500298,300317,24000,2026-01-02 01:51:28
500299,300318,43000,2026-01-02 02:28:29
500300,300319,31000,2026-01-02 02:18:29
500301,300320,49000,2026-01-02 02:31:29
500302,300321,46000,2026-01-02 02:20:41
500303,300323,15000,2026-01-02 02:34:41
500304,300324,28000,2026-01-02 02:15:41
500305,300325,15000,2026-01-02 01:51:41
500306,300326,18000,2026-01-02 02:13:38
500307,300328,18000,2026-01-02 02:43:38
500308,300329,33000,2026-01-02 02:01:38
500309,300330,13000,2026-01-02 03:03:32
500310,300331,10000,2026-01-02 02:22:32
500311,300332,46000,2026-01-02 02:26:32
500312,300333,39000,2026-01-02 03:05:32
500313,300334,44000,2026-01-02 03:08:32
500314,300335,35000,2026-01-02 03:24:05
500315,300336,30000,2026-01-02 02:29:05
500316,300338,23000,2026-01-02 02:56:28
500317,300339,34000,2026-01-02 02:43:28
500318,300341,37000,2026-01-02 02:33:28
500319,300342,14000,2026-01-02 02:37:28
500320,300343,21000,2026-01-02 03:27:26
500321,300344,31000,2026-01-02 03:27:26
500322,300345,40000,2026-01-02 03:09:26
500323,300346,37000,2026-01-02 03:10:26
500324,300348,19000,2026-01-02 03:15:18
500325,300349,30000,2026-01-02 02:59:18
500326,300350,41000,2026-01-02 03:35:18
500327,300351,18000,2026-01-02 03:52:20
500328,300352,12000,2026-01-02 03:02:20
500329,300353,44000,2026-01-02 03:57:20
500330,300354,23000,2026-01-02 03:09:20
500331,300355,29000,2026-01-02 03:15:33
500332,300356,41000,2026-01-02 03:59:33
500333,300357,31000,2026-01-02 03:37:59
500334,300359,34000,2026-01-02 03:37:59
500335,300360,50000,2026-01-02 03:37:59
500336,300361,16000,2026-01-02 03:39:59
500337,300362,36000,2026-01-02 03:51:45
500338,300363,44000,2026-01-02 03:51:45
500339,300364,23000,2026-01-02 03:53:07
500340,300365,22000,2026-01-02 04:23:07
500341,300366,35000,2026-01-02 04:05:30
500342,300368,36000,2026-01-02 04:28:30
500343,300369,12000,2026-01-02 03:49:30
500344,300370,25000,2026-01-02 04:34:50
500345,300372,37000,2026-01-02 04:12:50
500346,300374,18000,2026-01-02 04:53:53
500347,300375,50000,2026-01-02 04:24:53
500348,300376,23000,2026-01-02 04:11:53
500349,300377,11000,2026-01-02 04:49:48
500350,300378,46000,2026-01-02 04:32:48
500351,300379,24000,2026-01-02 04:55:54
500352,300380,34000,2026-01-02 05:28:54
500353,300381,19000,2026-01-02 04:58:54
500354,300382,16000,2026-01-02 04:50:54
500355,300383,19000,2026-01-02 04:37:54
500356,300384,23000,2026-01-02 05:02:50
500357,300385,14000,2026-01-02 05:10:50
500358,300386,50000,2026-01-02 05:14:28
500359,300387,21000,2026-01-02 05:18:28
500360,300388,17000,2026-01-02 04:58:28
500361,300389,17000,2026-01-02 05:06:16
500362,300390,42000,2026-01-02 05:50:16
500363,300391,18000,2026-01-02 05:20:56
500364,300392,27000,2026-01-02 05:17:56
500365,300393,41000,2026-01-02 05:56:58
500366,300394,26000,2026-01-02 05:23:58
500367,300395,27000,2026-01-02 05:53:58
500368,300396,29000,2026-01-02 05:34:58
500369,300397,30000,2026-01-02 06:21:44
500370,300398,46000,2026-01-02 05:44:44
500371,300399,38000,2026-01-02 05:28:44
500372,300400,47000,2026-01-02 05:50:44
500373,300401,43000,2026-01-02 05:58:44
500374,300402,32000,2026-01-02 05:46:09
500375,300403,19000,2026-01-02 06:26:09
500376,300404,10000,2026-01-02 06:33:09
500377,300405,48000,2026-01-02 05:58:55
500378,300406,48000,2026-01-02 06:35:55
500379,300407,36000,2026-01-02 06:47:55
500380,300408,22000,2026-01-02 05:58:55
500381,300409,48000,2026-01-02 06:11:29
500382,300410,28000,2026-01-02 05:47:29
500383,300411,39000,2026-01-02 06:04:29
500384,300412,44000,2026-01-02 06:20:29
500385,300413,40000,2026-01-02 05:54:29
500386,300414,45000,2026-01-02 06:47:22
500387,300415,29000,2026-01-02 06:52:22
500388,300417,11000,2026-01-02 06:13:22
500389,300418,37000,2026-01-02 06:43:24
500390,300419,33000,2026-01-02 07:26:24
500391,300421,14000,2026-01-02 06:41:44
500392,300422,34000,2026-01-02 06:58:44
500393,300423,36000,2026-01-02 07:24:49
500394,300424,25000,2026-01-02 07:18:49
500395,300425,30000,2026-01-02 07:23:49
500396,300426,28000,2026-01-02 07:19:49
500397,300427,25000,2026-01-02 07:35:49
500398,300428,23000,2026-01-02 06:37:39
500399,300429,22000,2026-01-02 07:19:39
500400,300430,19000,2026-01-02 08:00:23
500401,300431,33000,2026-01-02 07:17:23
500402,300433,37000,2026-01-02 07:04:23
500403,300434,17000,2026-01-02 07:14:50
500404,300435,11000,2026-01-02 07:34:50
500405,300436,37000,2026-01-02 07:30:30
500406,300437,31000,2026-01-02 07:25:30
500407,300438,34000,2026-01-02 07:53:30
500408,300440,17000,2026-01-02 07:37:14
500409,300441,27000,2026-01-02 07:49:14
500410,300442,49000,2026-01-02 08:07:14
500411,300443,24000,2026-01-02 08:05:14
500412,300444,23000,2026-01-02 07:41:14
500413,300445,21000,2026-01-02 08:01:34
500414,300447,30000,2026-01-02 08:14:34
500415,300448,39000,2026-01-02 08:03:34
500416,300449,20000,2026-01-02 08:21:30
500417,300450,40000,2026-01-02 08:24:30
500418,300451,17000,2026-01-02 07:53:30
500419,300452,24000,2026-01-02 08:18:30
500420,300453,16000,2026-01-02 08:06:30
500421,300454,26000,2026-01-02 08:24:07
500422,300455,31000,2026-01-02 08:28:07
500423,300456,48000,2026-01-02 08:44:07
500424,300457,50000,2026-01-02 08:10:07
500425,300458,19000,2026-01-02 08:15:07
500426,300459,50000,2026-01-02 08:14:34
500427,300461,43000,2026-01-02 08:35:34
500428,300462,31000,2026-01-02 08:49:34
500429,300463,29000,2026-01-02 08:16:34
500430,300464,46000,2026-01-02 09:10:53
500431,300465,41000,2026-01-02 08:49:53
500432,300466,28000,2026-01-02 09:01:53
500433,300467,28000,2026-01-02 08:25:53
500434,300468,41000,2026-01-02 08:36:15
500435,300469,10000,2026-01-02 08:45:15
500436,300470,42000,2026-01-02 09:07:15
500437,300472,37000,2026-01-02 08:59:15
500438,300473,50000,2026-01-02 08:57:07
500439,300474,26000,2026-01-02 08:48:07
500440,300475,30000,2026-01-02 09:30:07
500441,300476,15000,2026-01-02 09:04:08
500442,300477,21000,2026-01-02 09:17:08
500443,300478,18000,2026-01-02 09:12:08
500444,300479,32000,2026-01-02 09:34:08
500445,300480,36000,2026-01-02 08:51:09
500446,300481,25000,2026-01-02 09:32:09
500447,300482,46000,2026-01-02 09:21:09
500448,300483,35000,2026-01-02 09:32:09
500449,300484,43000,2026-01-02 09:42:09
500450,300485,16000,2026-01-02 09:37:55
500451,300486,40000,2026-01-02 09:58:55
500452,300487,13000,2026-01-02 10:06:03
500453,300488,41000,2026-01-02 09:37:03
500454,300489,10000,2026-01-02 10:36:32
500455,300490,14000,2026-01-02 09:19:32
500456,300491,16000,2026-01-02 09:47:32
500457,300492,13000,2026-01-02 09:45:01
500458,300493,25000,2026-01-02 10:24:01
500459,300494,11000,2026-01-02 10:07:28
500460,300495,20000,2026-01-02 10:15:28
500461,300496,40000,2026-01-02 10:09:28
500462,300497,41000,2026-01-02 10:17:28
500463,300498,16000,2026-01-02 10:27:28
500464,300499,34000,2026-01-02 10:04:33
500465,300500,49000,2026-01-02 10:34:33
500466,300501,39000,2026-01-02 10:36:33
500467,300502,23000,2026-01-02 10:34:26
500468,300504,46000,2026-01-02 10:37:26
500469,300505,14000,2026-01-02 11:11:23
500470,300506,48000,2026-01-02 11:03:23
500471,300507,43000,2026-01-02 10:38:23
500472,300508,32000,2026-01-02 11:01:23
500473,300509,20000,2026-01-02 10:53:06
500474,300510,40000,2026-01-02 11:05:06
500475,300511,34000,2026-01-02 11:37:55
500476,300513,50000,2026-01-02 11:48:32
500477,300514,38000,2026-01-02 11:03:32
500478,300515,28000,2026-01-02 11:21:23
500479,300516,43000,2026-01-02 12:03:23
500480,300517,50000,2026-01-02 11:28:23
500481,300518,46000,2026-01-02 11:43:44
500482,300519,43000,2026-01-02 11:48:44
500483,300520,40000,2026-01-02 11:54:44
500484,300521,34000,2026-01-02 12:21:25
500485,300522,43000,2026-01-02 11:50:25
500486,300523,48000,2026-01-02 11:41:25
500487,300524,14000,2026-01-02 12:22:21
500488,300525,44000,2026-01-02 11:54:21
500489,300526,42000,2026-01-02 11:54:21
500490,300527,17000,2026-01-02 12:15:21
500491,300528,22000,2026-01-02 11:55:39
500492,300529,45000,2026-01-02 12:24:39
500493,300530,49000,2026-01-02 12:38:17
500494,300531,14000,2026-01-02 12:13:17
500495,300532,45000,2026-01-02 12:08:17
500496,300533,24000,2026-01-02 12:43:37
500497,300534,24000,2026-01-02 12:12:37
500498,300535,11000,2026-01-02 12:52:03
500499,300536,18000,2026-01-02 12:35:03
500500,300537,38000,2026-01-02 12:06:03
500501,300538,24000,2026-01-02 12:18:31
500502,300539,44000,2026-01-02 13:05:31
500503,300540,25000,2026-01-02 13:25:31
500504,300541,21000,2026-01-02 12:38:31
500505,300542,17000,2026-01-02 13:13:42
500506,300543,23000,2026-01-02 13:04:42
500507,300544,24000,2026-01-02 13:12:42
500508,300545,30000,2026-01-02 13:18:04
500509,300546,36000,2026-01-02 13:22:04
500510,300549,19000,2026-01-02 13:03:01
500511,300552,49000,2026-01-02 13:37:06
500512,300553,38000,2026-01-02 13:00:06
500513,300554,37000,2026-01-02 13:41:06
500514,300555,32000,2026-01-02 13:04:06
500515,300557,49000,2026-01-02 13:49:14
500516,300558,13000,2026-01-02 14:16:14
500517,300559,28000,2026-01-02 14:13:14
500518,300560,20000,2026-01-02 13:38:52
500519,300561,18000,2026-01-02 13:13:52
500520,300562,15000,2026-01-02 13:29:52
500521,300563,35000,2026-01-02 13:26:52
500522,300564,26000,2026-01-02 14:17:52
500523,300565,30000,2026-01-02 14:30:09
500524,300566,11000,2026-01-02 13:58:09
500525,300567,13000,2026-01-02 14:16:39
500526,300569,26000,2026-01-02 14:20:39
500527,300570,18000,2026-01-02 13:55:39
500528,300571,21000,2026-01-02 14:20:50
500529,300572,12000,2026-01-02 14:21:50
500530,300573,32000,2026-01-02 14:47:03
500531,300574,16000,2026-01-02 14:01:03
500532,300575,25000,2026-01-02 14:01:03
500533,300576,36000,2026-01-02 14:16:03
500534,300577,31000,2026-01-02 14:33:50
500535,300578,49000,2026-01-02 14:06:50
500536,300579,19000,2026-01-02 15:02:50
500537,300580,42000,2026-01-02 15:20:09
500538,300581,34000,2026-01-02 15:05:09
500539,300582,34000,2026-01-02 14:58:09
500540,300583,46000,2026-01-02 14:55:02
500541,300585,43000,2026-01-02 15:10:24
500542,300586,28000,2026-01-02 14:59:24
500543,300587,25000,2026-01-02 15:07:24
500544,300588,15000,2026-01-02 15:09:24
500545,300589,40000,2026-01-02 15:25:24
500546,300590,44000,2026-01-02 15:05:09
500547,300591,18000,2026-01-02 15:42:09
500548,300592,17000,2026-01-02 15:01:09
500549,300593,22000,2026-01-02 15:31:41
500550,300594,36000,2026-01-02 15:15:41
500551,300595,16000,2026-01-02 15:19:41
500552,300596,18000,2026-01-02 15:40:23
500553,300597,37000,2026-01-02 15:56:23
500554,300598,31000,2026-01-02 16:21:09
500555,300599,12000,2026-01-02 15:43:09
500556,300600,36000,2026-01-02 16:10:09
500557,300601,47000,2026-01-02 16:23:24
500558,300603,39000,2026-01-02 16:10:24
500559,300604,47000,2026-01-02 16:06:24
500560,300605,43000,2026-01-02 16:27:43
500561,300606,28000,2026-01-02 16:09:43
500562,300607,12000,2026-01-02 16:32:43
500563,300608,32000,2026-01-02 16:07:19
500564,300609,38000,2026-01-02 16:15:19
500565,300610,26000,2026-01-02 16:53:19
500566,300611,27000,2026-01-02 16:16:19
500567,300612,20000,2026-01-02 16:03:19
500568,300613,33000,2026-01-02 16:09:49
500569,300614,38000,2026-01-02 16:42:49
500570,300615,17000,2026-01-02 17:10:49
500571,300616,27000,2026-01-02 16:56:55
500572,300617,15000,2026-01-02 17:18:55
500573,300618,20000,2026-01-02 16:48:55
500574,300619,42000,2026-01-02 17:12:55
500575,300620,12000,2026-01-02 16:43:55
500576,300621,50000,2026-01-02 16:46:17
500577,300623,22000,2026-01-02 16:39:17
500578,300624,41000,2026-01-02 16:39:17
500579,300625,23000,2026-01-02 16:49:25
500580,300626,23000,2026-01-02 17:30:25
500581,300627,32000,2026-01-02 17:26:59
500582,300628,29000,2026-01-02 17:57:59
500583,300629,41000,2026-01-02 17:41:59
500584,300630,40000,2026-01-02 17:11:59
500585,300631,37000,2026-01-02 17:14:30
500586,300632,17000,2026-01-02 17:29:30
500587,300633,40000,2026-01-02 18:03:30
500588,300634,25000,2026-01-02 17:00:30
500589,300635,45000,2026-01-02 17:46:53
500590,300636,35000,2026-01-02 18:00:53
500591,300637,13000,2026-01-02 17:42:53
500592,300638,24000,2026-01-02 17:55:07
500593,300639,50000,2026-01-02 17:37:07
500594,300641,11000,2026-01-02 18:20:07
500595,300642,43000,2026-01-02 17:30:31
500596,300643,44000,2026-01-02 17:46:31
500597,300644,20000,2026-01-02 18:04:31
500598,300645,25000,2026-01-02 17:39:31
500599,300646,12000,2026-01-02 17:51:22
500600,300647,25000,2026-01-02 17:48:22
500601,300648,15000,2026-01-02 17:48:50
500602,300649,36000,2026-01-02 18:01:50
500603,300650,19000,2026-01-02 18:01:50
500604,300651,48000,2026-01-02 18:36:50
500605,300652,11000,2026-01-02 18:11:50
500606,300653,40000,2026-01-02 18:28:01
500607,300654,45000,2026-01-02 18:16:01
500608,300655,35000,2026-01-02 18:42:34
500609,300656,24000,2026-01-02 18:46:34
500610,300658,50000,2026-01-02 18:15:49
500611,300659,41000,2026-01-02 19:10:49
500612,300660,24000,2026-01-02 18:37:20
500613,300661,31000,2026-01-02 19:18:20
500614,300662,48000,2026-01-02 19:00:20
500615,300663,45000,2026-01-02 19:12:20
500616,300664,25000,2026-01-02 18:56:20
500617,300665,14000,2026-01-02 19:12:49
500618,300666,17000,2026-01-02 18:52:49
500619,300667,50000,2026-01-02 19:32:57
500620,300668,45000,2026-01-02 19:29:57
500621,300669,27000,2026-01-02 19:42:05
500622,300670,20000,2026-01-02 19:13:05
500623,300671,31000,2026-01-02 19:49:18
500624,300672,20000,2026-01-02 19:33:18
500625,300673,36000,2026-01-02 19:17:18
500626,300674,29000,2026-01-02 19:40:18
500627,300675,14000,2026-01-02 19:33:46
500628,300676,50000,2026-01-02 19:17:46
500629,300678,35000,2026-01-02 19:41:46
500630,300679,14000,2026-01-02 19:49:46
500631,300680,43000,2026-01-02 20:18:25
500632,300681,47000,2026-01-02 20:12:25
500633,300682,49000,2026-01-02 20:25:25
500634,300684,30000,2026-01-02 19:30:28
